=== 14_null_distribution_vc ===
device = cuda
model  = google/gemma-3-4b-pt (dtype=bfloat16)

  loading google/gemma-3-4b-pt (dtype=bfloat16) ...
  loaded in 10.0s
  baseline (no ablation, NV pairs) ...
  sampling 272 random heads (vc metric only) ...
        head   +vc_gps  +vc_delta     +ctrl    select
    L29.H7      +0.010     +0.024    +0.011    -0.001
    L17.H6      -0.012     -0.023    -0.005    -0.007
    L22.H2      +0.013     -0.026    -0.041    +0.054
    L23.H7      -0.002     +0.008    -0.015    +0.013
    L22.H0      +0.133     +0.118    +0.037    +0.096
    L19.H6      +0.118     +0.163    +0.020    +0.097
    L33.H3      -0.011     -0.015    -0.011    -0.000
    L31.H6      +0.016     +0.012    +0.002    +0.014
    L33.H7      +0.074     +0.061    -0.017    +0.091
    L13.H7      -0.066     -0.073    -0.003    -0.062
    L17.H2      -0.010     +0.007    +0.004    -0.013
    L18.H7      -0.068     -0.036    +0.022    -0.090
    L23.H2      +0.025     -0.025    -0.007    +0.032
    L 2.H5      +0.071     +0.116    +0.107    -0.037
    L21.H0      +0.014     +0.026    -0.014    +0.028
    L32.H2      +0.016     +0.019    +0.007    +0.009
    L 1.H4      +0.015     -0.007    +0.097    -0.082
    L24.H1      -0.007     +0.023    +0.071    -0.078
    L 8.H4      +0.032     +0.043    +0.018    +0.014
    L18.H6      +0.059     +0.022    -0.019    +0.078
    L26.H4      -0.000     +0.019    -0.009    +0.009
    L 4.H3      -0.005     +0.012    +0.014    -0.019
    L29.H2      +0.006     +0.028    -0.009    +0.015
    L24.H4      +0.078     +0.063    -0.009    +0.087
    L 9.H2      +0.007     -0.001    +0.010    -0.003
    L 6.H4      +0.033     +0.060    -0.015    +0.048
    L32.H3      -0.029     -0.002    +0.010    -0.039
    L29.H1      +0.013     +0.021    +0.014    -0.001
    L26.H7      +0.016     -0.110    -0.029    +0.045
    L19.H1      -0.037     -0.011    -0.000    -0.037
    L30.H5      -0.020     -0.009    -0.001    -0.020
    L30.H3      -0.014     -0.000    -0.002    -0.012
    L15.H3      -0.001     -0.050    +0.036    -0.037
    L 4.H0      -0.023     -0.019    +0.020    -0.044
    L28.H6      -0.017     -0.020    +0.008    -0.024
    L33.H4      -0.074     -0.067    -0.082    +0.008
    L 4.H7      -0.008     -0.032    -0.087    +0.079
    L20.H6      -0.037     -0.093    +0.003    -0.041
    L 0.H5      -0.099     -0.074    +0.002    -0.101
    L16.H0      -0.069     -0.074    -0.052    -0.016
    L 3.H2      -0.053     -0.107    +0.072    -0.125
    L 5.H2      +0.000     +0.005    -0.015    +0.016
    L32.H4      -0.060     -0.019    -0.008    -0.052
    L 7.H3      +0.030     +0.075    -0.079    +0.109
    L12.H3      -0.015     -0.048    -0.035    +0.020
    L28.H3      -0.002     +0.004    +0.001    -0.003
    L 1.H2      -0.039     -0.094    +0.077    -0.116
    L 0.H2      -0.079     -0.060    -0.020    -0.059
    L 9.H0      +0.040     +0.045    -0.012    +0.052
    L10.H2      -0.020     +0.106    -0.036    +0.016

  Null percentiles (single head):
    vc_gps_inflation      p5=-0.065  p50=-0.001  p95=+0.097  p99=+0.128  |.|max=0.217
    vc_delta_inflation    p5=-0.087  p50=+0.005  p95=+0.100  p99=+0.164  |.|max=0.346
    selectivity           p5=-0.088  p50=+0.001  p95=+0.095  p99=+0.134  |.|max=0.247

  Selection-corrected: null max(vc_gps_inflation) over K random heads:
    K=  8  p50=+0.074  p90=+0.126  p95=+0.162  p99=+0.217
    K= 16  p50=+0.106  p90=+0.162  p95=+0.217  p99=+0.217

Saved → /app/gemma3_4b/logs/14_null_distribution_vc.json

Elapsed: 400.7s
